nombre_parametro;categ_original;categ_final;parametro_id
CLASIFICACION;1;Comercial;1
CLASIFICACION;2;Consumo;1
CLASIFICACION;3;Vivienda;1
CLASIFICACION;4;Microcrédito;1
PCONS;CREDITO EDUCATIVO CP SUFI;CREDITO EDUCATIVO CP;2
PCONS;CREDITO EDUCATIVO LP SUFI;CREDITO EDUCATIVO LP;2
PCONS;VEHICULOS SUFI;VEHICULOS SUFI;2
PCONS;MOTOS SUFI;MOTOS SUFI;2
PCONS;CONSUMO SUFI;CONSUMO SUFI;2
PCONS;LIBRE INVERSION SUFI;LIBRE INVERSION SUFI;2
PCONS;CCT SUFI;CONSUMO SUFI;2
PCONS;OTROS SUFI;CONSUMO SUFI;2
PCONS;CREDIPAGO;ROTATIVOS;2
PCONS_NEI;CARTERA ORDINARIA;COMERCIAL Y OTROS;3
PCONS_NEI;CREDITO CONSTRUCTOR;OTROS HIPOTECARIO;3
PRODUCTO;CONSUMO SUFI;SUFI - COTIDIANIDAD;4
PRODUCTO;CREDITO EDUCATIVO CP;SUFI - COTIDIANIDAD;4
PRODUCTO;CREDITO EDUCATIVO LP;SUFI - COTIDIANIDAD;4
PRODUCTO;LIBRE INVERSION SUFI;SUFI - COTIDIANIDAD;4
PRODUCTO;MOTOS SUFI;SUFI - COTIDIANIDAD;4
PRODUCTO;VEHICULOS SUFI;SUFI - MOVILIDAD;4
SEGMENTO;SIN SEGMENTO;PERSONAL;5
SEGMENTO;MICROPYME;NeI;5
SEGMENTO;EMPRESARIAL;EMPRESARIAL;5
SEGMENTO;PYMES;PYMES;5
SEGMENTO;GOBIERNO DE RED;GOBIERNO DE RED;5
SEGMENTO;NEGOCIOS & INDEPEND;NeI;5
SEGMENTO;SOCIAL;PERSONAL;5
BANCA;Ncorp;Corporativo;6
BANCA;Hipotecaria;Constructor;6
PRODUCTO_AGR;HIPOTECARIO VIVIENDA;Solucion Inmobiliaria;7
PRODUCTO_AGR;LEASING HABITACIONAL;Solucion Inmobiliaria;7
PRODUCTO_AGR;CREDITO EDUCATIVO LP;Consumo;7
PRODUCTO_AGR;CREDITO EDUCATIVO CP;Consumo;7
PRODUCTO_AGR;CONSUMO SUFI;Consumo;7
PRODUCTO_AGR;MOTOS SUFI;Consumo;7
PRODUCTO_AGR;VEHICULOS SUFI;Consumo;7
PRODUCTO_AGR;LIBRE INVERSION SUFI;Consumo;7
PRODUCTO_AGR;LIBRE INVERSION;Consumo;7
PRODUCTO_AGR;TARJETA DE CREDITO;Consumo;7
PRODUCTO_AGR;LIBRANZA;Consumo;7
PRODUCTO_AGR;ROTATIVOS;Consumo;7
MICROCREDITO;P70;Cartera Microcrédito;8
MICROCREDITO;P73;Cartera Microcrédito;8
MICROCREDITO;P74;Cartera Microcrédito;8
MICROCREDITO;P83;Cartera Microcrédito;8
MICROCREDITO;P84;Cartera Microcrédito;8
MICROCREDITO;P86;Cartera Microcrédito;8
MICROCREDITO;P21;Cartera Microcrédito;8
MICROCREDITO;PA7;Cartera Microcrédito;8
MICROCREDITO;PB4;Cartera Microcrédito;8
